code,currency,name
US,USD,US exchanges
CN,CAD,CANADIAN NATIONAL STOCK EXCHANGE
VN,VND,"Vietnam exchanges including HOSE, HNX and UPCOM"
SS,CNY,SHANGHAI STOCK EXCHANGE
SG,EUR,BOERSE STUTTGART
BO,INR,BSE LTD
HE,EUR,NASDAQ OMX HELSINKI LTD.
BC,COP,BOLSA DE VALORES DE COLOMBIA
OL,NOK,OSLO BORS ASA
ME,RUB,MOSCOW EXCHANGE
BR,EUR,NYSE EURONEXT - EURONEXT BRUSSELS
NZ,NZD,NEW ZEALAND EXCHANGE LTD
SI,SGD,SINGAPORE EXCHANGE
MX,MXN,BOLSA MEXICANA DE VALORES (MEXICAN STOCK EXCHANGE)
CR,,CARACAS STOCK EXCHANGE
T,JPY,TOKYO STOCK EXCHANGE-TOKYO PRO MARKET
JK,IDR,INDONESIA STOCK EXCHANGE
TO,CAD,TORONTO STOCK EXCHANGE
AS,EUR,NYSE EURONEXT - EURONEXT AMSTERDAM
WA,PLN,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
BE,EUR,BOERSE BERLIN
DU,EUR,BOERSE DUESSELDORF
AX,AUD,ASX - ALL MARKETS
SA,BRL,Sao Paolo
JO,ZAc,JOHANNESBURG STOCK EXCHANGE
IR,EUR,IRISH STOCK EXCHANGE - ALL MARKET
VI,EUR,WIENER BOERSE AG DRITTER MARKT (THIRD MARKET)
MI,EUR,MARKET FOR INVESTMENT VEHICULES
KS,KRW,KOREA EXCHANGE (STOCK MARKET)
ST,SEK,NASDAQ OMX NORDIC
PA,EUR,NYSE EURONEXT - EURONEXT PARIS
F,EUR,DEUTSCHE BOERSE AG
DB,AED,DUBAI FINANCIAL MARKET
PR,CZK,PRAGUE STOCK EXCHANGE
LS,EUR,NYSE EURONEXT - EURONEXT LISBON
RG,EUR,NASDAQ OMX RIGA
KQ,KRW,KOREA EXCHANGE (KOSDAQ)
SW,USD,SWISS EXCHANGE
KL,MYR,BURSA MALAYSIA
MU,EUR,BOERSE MUENCHEN
PA,EUR,NYSE EURONEXT - MARCHE LIBRE PARIS
VS,EUR,NASDAQ OMX VILNIUS
V,CAD,TSX VENTURE EXCHANGE - NEX
HK,HKD,HONG KONG EXCHANGES AND CLEARING LTD
SZ,CNY,SHENZHEN STOCK EXCHANGE
TA,ILa,TEL AVIV STOCK EXCHANGE
SR,SAR,SAUDI STOCK EXCHANGE
NE,CAD,AEQUITAS NEO EXCHANGE
HM,EUR,HANSEATISCHE WERTPAPIERBOERSE HAMBURG
BK,THB,STOCK EXCHANGE OF THAILAND
NS,INR,NATIONAL STOCK EXCHANGE OF INDIA
TL,EUR,NASDAQ OMX TALLINN
QA,QAR,QATAR EXCHANGE
IS,TRY,BORSA ISTANBUL
SN,CLP,SANTIAGO STOCK EXCHANGE
TW,TWD,TAIWAN STOCK EXCHANGE
L,GBP,LONDON STOCK EXCHANGE
BA,ARS,BOLSA DE COMERCIO DE BUENOS AIRES
MC,EUR,BOLSA DE MADRID
IC,ISK,NASDAQ OMX ICELAND
AT,EUR,ATHENS EXCHANGE S.A. CASH MARKET
BD,HUF,BUDAPEST STOCK EXCHANGE
CO,DKK,OMX NORDIC EXCHANGE COPENHAGEN A/S
DE,EUR,XETRA
mutualFund,USD,US Mutual funds
indices,,World Indices
